ANC.A totalGEN totalN delta n rate U_exact L_exact
11 3148959.66966268 71096 -2 1 3.82522523741637e-07 2.13127732062243e-06 9.68463075087128e-09
11 3148959.66966268 71096 -1 12 4.59027028489964e-06 8.01826616355103e-06 2.37186119793525e-06
11 3148959.66966268 71096 1 76 2.90717118043644e-05 3.63874681185899e-05 2.29052549204539e-05
11 3148959.66966268 71096 2 10 3.82522523741637e-06 7.03471529577472e-06 1.83434521858188e-06
12 24476.9961284047 540 -2 0 0 0.000181521328395432 0
12 24476.9961284047 540 -1 0 0 0.000181521328395432 0
12 24476.9961284047 540 1 0 0 0.000181521328395432 0
12 24476.9961284047 540 2 0 0 0.000181521328395432 0
13 29629.1522189393 640 -2 0 0 0.000149959693926144 0
13 29629.1522189393 640 -1 0 0 0.000149959693926144 0
13 29629.1522189393 640 1 13 0.000528503950578462 0.000903621718864196 0.000281431659936352
13 29629.1522189393 640 2 0 0 0.000149959693926144 0
14 1781254.79981782 41010 -2 0 0 2.49454893748918e-06 0
14 1781254.79981782 41010 -1 13 8.79106346919125e-06 1.50329456266672e-05 4.68087719838487e-06
14 1781254.79981782 41010 1 387 0.000261703197121309 0.000289117892352514 0.000236278247514954
14 1781254.79981782 41010 2 17 1.14960060750962e-05 1.84061644971999e-05 6.69685788823023e-06
15 394404.756256494 8829 -2 0 0 1.12661137384006e-05 0
15 394404.756256494 8829 -1 19 5.80277282080144e-05 9.06162037605666e-05 3.49367520010663e-05
15 394404.756256494 8829 1 126 0.000384815460747885 0.000458157596869629 0.000320569501668105
15 394404.756256494 8829 2 9 2.74868186248489e-05 5.2177976703217e-05 1.25687778966094e-05
16 141394.405796822 3168 -2 0 0 3.14254806147157e-05 0
16 141394.405796822 3168 -1 5 4.25953202749368e-05 9.94012096984607e-05 1.38307404756825e-05
16 141394.405796822 3168 1 56 0.000477067587079292 0.000619477089090774 0.00036038894679453
16 141394.405796822 3168 2 3 2.55571921649621e-05 7.46876520014673e-05 5.27054831520763e-06
17 2013151.3722755 45872 -2 1 5.98339507196858e-07 3.3337311920218e-06 1.5148647458683e-08
17 2013151.3722755 45872 -1 9 5.38505556477173e-06 1.02224942412674e-05 2.46239314211613e-06
17 2013151.3722755 45872 1 91 5.44488951549141e-05 6.68508458866931e-05 4.3839044197233e-05
17 2013151.3722755 45872 2 7 4.18837655037801e-06 8.62964215502302e-06 1.68394624506783e-06
18 48160.0267118539 1095 -2 0 0 9.22604276935959e-05 0
18 48160.0267118539 1095 -1 14 0.000350159108110487 0.000587449927834869 0.000191445975448518
18 48160.0267118539 1095 1 24 0.000600272756760835 0.00089305018599439 0.000384636738322425
18 48160.0267118539 1095 2 0 0 9.22604276935959e-05 0
20 42566.241356803 1028 -2 0 0 0.000104384716313384 0
20 42566.241356803 1028 -1 1 2.8298199737748e-05 0.000157659904914217 7.16452236582236e-07
20 42566.241356803 1028 1 22 0.000622560394230455 0.000942444055433979 0.000390190558806024
20 42566.241356803 1028 2 4 0.000113192798950992 0.000289798917255038 3.08420949308708e-05
21 94404.4702019246 2203 -2 0 0 4.70673441300082e-05 0
21 94404.4702019246 2203 -1 14 0.000178632134303914 0.000299700797071216 9.76631018916361e-05
21 94404.4702019246 2203 1 75 0.000956957862342394 0.00119944012971903 0.00075277165944411
21 94404.4702019246 2203 2 3 3.82783144936958e-05 0.000111862618797155 7.894005766962e-06
22 110338.954883409 2590 -2 2 2.18335945137925e-05 7.88685509798731e-05 2.64415758629078e-06
22 110338.954883409 2590 -1 13 0.000141918364339651 0.000242674475076445 7.55672599953952e-05
22 110338.954883409 2590 1 103 0.00112443011746032 0.00136356251493834 0.000917870515041562
22 110338.954883409 2590 2 9 9.82511753120664e-05 0.00018650442616547 4.49274662473295e-05
23 224035.482720113 5307 -2 3 1.61297842472325e-05 4.71375691878932e-05 3.32636670920358e-06
23 224035.482720113 5307 -1 29 0.000155921247723247 0.000223923081656446 0.000104425130947482
23 224035.482720113 5307 1 179 0.00096241046008487 0.00111412202516501 0.000826628525037823
23 224035.482720113 5307 2 13 6.98957317380073e-05 0.000119521625260576 3.72170353969028e-05
24 521035.370590552 11981 -2 5 1.15591768619733e-05 2.69751094064779e-05 3.75324449234743e-06
24 521035.370590552 11981 -1 113 0.000261237397080597 0.000314072734160563 0.000215300641887859
24 521035.370590552 11981 1 539 0.00124607926572072 0.00135579611231262 0.00114313831303592
24 521035.370590552 11981 2 48 0.000110968097874944 0.000147125494875367 8.18200851037724e-05
25 302954.847859894 6997 -2 7 2.78319890226659e-05 5.73438033284871e-05 1.1189956292607e-05
25 302954.847859894 6997 -1 107 0.000425431832203608 0.000514071642466211 0.000348662015811952
25 302954.847859894 6997 1 386 0.00153473539467844 0.00169563030980195 0.00138551376686382
